"","Time","P","I"
"472",47.1,67.5337858721585,1396.19153097966
"473",47.2,68.2364856449167,1396.79383824408
"474",47.3,68.9420696857559,1397.47577210841
"475",47.4,69.6499244883179,1398.23664714173
"476",47.5,70.359417848004,1399.07572488697
"477",47.6,71.0698993557715,1399.99221200265
"478",47.7,71.7807009902764,1400.98525842793
"479",47.8,72.4911378086482,1402.05395558158
"480",47.9,73.2005087374017,1403.19733460588
"481",48,73.908097466101,1404.41436466643
"482",48.1,74.6131734445941,1405.70395131983
"483",48.2,75.3149929843092,1407.0649349611
"484",48.3,76.0128004635265,1408.4960893635
"485",48.4,76.7058296359026,1409.99612032321
"486",48.5,77.3933050407648,1411.5636644217
"487",48.6,78.0744435136596,1413.19728791974
"488",48.7,78.7484557926281,1414.89548579398
"489",48.8,79.414548220118,1416.65668093298
"490",48.9,80.0719245293754,1418.47922349799
"491",49,80.7197877190281,1420.36139047229
"492",49.1,81.3573420041511,1422.30138540452
"493",49.2,81.9837948373267,1424.29733835805
"494",49.3,82.5983589934912,1426.34730608008
"495",49.4,83.2002547097962,1428.44927240084
"496",49.5,83.7887118713745,1430.60114887327
"497",49.6,84.3629722332222,1432.80077566251
"498",49.7,84.9222916803987,1435.0459227022
"499",49.8,85.4659424271066,1437.33429106564
"500",49.9,85.9932154248632,1439.66351475565
"501",50,86.5034224809214,1442.03116256181
"502",50.1,86.9958984941864,1444.43474030786
"503",50.2,87.4700037198366,1446.87169340811
"504",50.3,87.9251259553036,1449.33940974288
"505",50.4,88.3606824467573,1451.83522247926
"506",50.5,88.7761222208547,1454.35641388442
"507",50.6,89.1709278106568,1456.90021868453
"508",50.7,89.5446170802934,1459.46382794397
"509",50.8,89.8967450224104,1462.04439332695
"510",50.9,90.226905351241,1464.63903149939
"511",51,90.5347319756242,1467.24482877889
"512",51.1,90.8199003316281,1469.85884601175
"513",51.2,91.0821285635957,1472.4781236567
"514",51.3,91.3211785449308,1475.09968705789
"515",51.4,91.5368567312141,1477.72055188811
"516",51.5,91.7290148404901,1480.33772974083
"517",51.6,91.8975503559883,1482.94823384938
"518",51.7,92.0424068363599,1485.54908491671
"519",51.8,92.1635740538541,1488.13731701463
"520",51.9,92.2610879433937,1490.7099835411
"521",52,92.3350303616034,1493.2641632082
"522",52.1,92.3855286620009,1495.79696603103
"523",52.2,92.4127550893282,1498.30553928958
"524",52.3,92.4169259979492,1500.78707343815
"525",52.4,92.3983008939129,1503.23880793541
"526",52.5,92.3571813195875,1505.65803696781
"527",52.6,92.2939095724669,1508.04211503895
"528",52.7,92.208867277386,1510.38846239974
"529",52.8,92.1024738213734,1512.69457029534
"530",52.9,91.9751846593101,1514.9580060044
"531",53,91.8274895025468,1517.17641764825
"532",53.1,91.6599104025543,1519.34753874917
"533",53.2,91.4729997421469,1521.4691925182
"534",53.3,91.2673381471969,1523.53929585491
"535",53.4,91.0435323320217,1525.55586304336
"536",53.5,90.8022128917537,1527.51700913041
"537",53.6,90.544032055018,1529.42095297456
"538",53.7,90.2696614101286,1531.26601995579
"539",53.8,89.9797896177951,1533.05064433868
"540",53.9,89.6751201103328,1534.77337129201
"541",54,89.3563688781487,1536.43285850272
"542",54.1,89.0242620736471,1538.02787756052
"543",54.2,88.6795339284801,1539.55731482722
"544",54.3,88.3229245785236,1541.02017202376
"545",54.4,87.9551778791523,1542.41556653118
"546",54.5,87.5770393188646,1543.74273126485
"547",54.6,87.1892542120361,1545.00101427807
"548",54.7,86.7925654971778,1546.18987796108
"549",54.8,86.3877121139297,1547.30889799848
"550",54.9,85.9754272840513,1548.35776202647
"551",55,85.5564368087476,1549.33626798888
"552",55.1,85.1314575427335,1550.24432222813
"553",55.2,84.7011959575144,1551.08193733075
"554",55.3,84.2663468117542,1551.84922972333
"555",55.4,83.8275919186484,1552.54641706996
"556",55.5,83.3855990201975,1553.17381546549
"557",55.6,82.9410207685932,1553.73183644215
"558",55.7,82.4944938112821,1554.2209838145
"559",55.8,82.046637978104,1554.64185038183
"560",55.9,81.5980555680433,1554.99511450536
"561",56,81.1493307363151,1555.28153657346
"562",56.1,80.701028971878,1555.50195538328
"563",56.2,80.2536966710943,1555.6572844425
"564",56.3,79.8078607967277,1555.74850819562
"565",56.4,79.3640286272463,1555.77667833848
"566",56.5,78.9226875680181,1555.74290976094
"567",56.6,78.4843050591506,1555.64837695287
"568",56.7,78.0493285461028,1555.49431017893
"569",56.8,77.6181855066891,1555.28199154613
"570",56.9,77.1912835503903,1555.01275127371
"571",57,76.7690105713115,1554.68796396459
"572",57.1,76.3517349526965,1554.30904492244
"573",57.2,75.9398058187081,1553.87744652993
"574",57.3,75.5335533289203,1553.39465469715
"575",57.4,75.1332890110979,1552.86218538831
"576",57.5,74.7393061279676,1552.28158123365
"577",57.6,74.3518800738332,1551.65440823301
"578",57.7,73.9712687970518,1550.98225255635
"579",57.8,73.5977132419431,1550.26671746246
"580",57.9,73.2314378247321,1549.50942022541
"581",58,72.8726508698964,1548.71198950418
"582",58.1,72.521545169731,1547.87606214326
"583",58.2,72.178298436995,1547.00328080881
"584",58.3,71.8430738053329,1546.09529146002
"585",58.4,71.5160203548051,1545.15374081115
"586",58.5,71.1972736036805,1544.18027410218
"587",58.6,70.8869560473679,1543.1765327625
"588",58.7,70.5851776317882,1542.14415245841
"589",58.8,70.2920362523708,1541.0847611222
"590",58.9,70.0076182603215,1539.999977024
"591",59,69.7319989539391,1538.89140700224
"592",59.1,69.465243010236,1537.76064496819
"593",59.2,69.2074050184397,1536.60927012179
"594",59.3,68.9585298850065,1535.4388456858
"595",59.4,68.7186532689884,1534.25091757587
"596",59.5,68.487802023109,1533.04701310317
"597",59.6,68.2659946025104,1531.82863983883
"598",59.7,68.0532414614924,1530.59728455647
"599",59.8,67.8495454359504,1529.35441225984
"600",59.9,67.6549021107193,1528.10146529308
"601",60,67.4693001715693,1526.83986253045
"602",60.1,67.2927217417726,1525.57099864172
"603",60.2,67.1251427032045,1524.29624343001
"604",60.3,66.9665330020205,1523.01694123819
"605",60.4,66.816856939012,1521.73441042069
"606",60.5,66.6760734448033,1520.4499428769
"607",60.6,66.5441363401017,1519.16480364303
"608",60.7,66.4209945812481,1517.88023053891
"609",60.8,66.306592491457,1516.59743386623
"610",60.9,66.2008699780941,1515.31759615495
"611",61,66.1037627355115,1514.04187195755
"612",61.1,66.0152024356007,1512.77138768202
"613",61.2,65.9351169052758,1511.50724146499
"614",61.3,65.863430291202,1510.25050308238
"615",61.4,65.800063212612,1509.00221389353
"616",61.5,65.7449329027095,1507.76338681603
"617",61.6,65.6979533391536,1506.53500632872
